ref_ID,alt_ID,bait_ID,perturbation
ZNF688_1,ZNF688_4,TCF12,False
LCK_1,LCK_3,GATA3,False
EFEMP1_1,EFEMP1_2,SGTA,False
CLCN2_1,CLCN2_5,UBQLN1_ORF2,False
COL1A2_1,COL1A2_5,SGTA,False
COL1A2_1,COL1A2_5,UBQLN1_ORF2,False
COL1A2_1,COL1A2_5,SGTB,False
CRK_1,CRK_2,PSMC6,False
CRK_1,CRK_2,USP53,False
DGUOK_1,DGUOK_2,FAM9B,False
FANCC_1,FANCC_2,MEOX2,False
EFEMP1_1,EFEMP1_2,MEOX2,False
EFEMP1_1,EFEMP1_2,TRAF2,False
ZNF688_1,ZNF688_2,TADA2A_ORF2,False
ZNF688_1,ZNF688_4,GMPPA,False
FGA_1,FGA_2,AGTRAP,False
FH_1,FH_5,CCNDBP1,False
GAD1_1,GAD1_2,AGTRAP,False
GAD1_1,GAD1_2,MAL2,False
GAD1_1,GAD1_2,CMTM5,False
GAD1_1,GAD1_3,TRIM23,False
GAD1_1,GAD1_3,KRT31,False
GAD1_1,GAD1_3,TRIP6_ORF3,False
CLCN2_1,CLCN2_5,FHL3,False
CLCN2_1,CLCN2_4,UBQLN1_ORF2,False
CLCN2_1,CLCN2_4,FHL3,False
UPP2_1,UPP2_2,SIAH1_ORF1,False
ZKSCAN4_1,ZKSCAN4_3,ZSCAN22,False
AKT1_1,AKT1_2,TCL1A,False
ZKSCAN4_1,ZKSCAN4_3,ZNF496,False
ZKSCAN4_1,ZKSCAN4_3,ZNF397,False
ZKSCAN4_1,ZKSCAN4_3,ZNF167,False
TEX9_1,TEX9_5,GOLGA2_ORF1,False
BBS4_1,BBS4_3,REL,False
DYX1C1_1,DYX1C1_3,CCDC99,False
BCL2L1_1,BCL2L1_2,VAC14,False
BCL2L1_1,BCL2L1_3,BIK,False
DYX1C1_1,DYX1C1_2,EFCAB4A,False
DYX1C1_1,DYX1C1_2,EXOC5,False
BCL2L1_1,BCL2L1_3,BMF,False
DYX1C1_1,DYX1C1_2,KRT13,False
DYX1C1_1,DYX1C1_2,TRIM23,False
SERPING1_1,SERPING1_4,SLC30A2,False
UPP2_1,UPP2_4,SIAH1_ORF1,False
CAPN3_1,CAPN3_7,CEP76,False
UPP2_1,UPP2_2,UPP2,False
GAD1_1,GAD1_3,KRTAP3-2,False
HNRPLL_1,HNRPLL_2,KHDRBS2,False
GALT_1,GALT_2,TRIP13,False
ZNF688_1,ZNF688_2,CARD9_ORF2,False
ZNF688_1,ZNF688_2,CEP72,False
ZNF688_1,ZNF688_2,LDOC1,False
ZNF688_1,ZNF688_2,TENC1,False
ZNF688_1,ZNF688_2,FCHO1,False
ZNF688_1,ZNF688_2,WWP2,False
ZNF688_1,ZNF688_2,MID2,False
ZNF688_1,ZNF688_2,EHMT2,False
ZNF688_1,ZNF688_2,PNMA2,False
ZNF688_1,ZNF688_2,KHDRBS3,False
ZNF688_1,ZNF688_2,SPAG5,False
ZNF688_1,ZNF688_2,CALCOCO2,False
ZNF688_1,ZNF688_2,ABI2,False
ZNF688_1,ZNF688_2,TMCC2,False
ZNF688_1,ZNF688_2,TRAF4,False
ZNF688_1,ZNF688_2,MAGED1,False
ZNF688_1,ZNF688_2,PNMA1,False
ZNF688_1,ZNF688_2,TRIP6_ORF3,False
ZNF688_1,ZNF688_2,TRIP6_ORF1,False
